Data Source,DISTRICT,Variety,Yield
ARD,Netrakona,BRRI dhan108,7.5
ARD,Netrakona,BRRI dhan96,6.2
ARD,Netrakona,BRRI dhan105,6
ARD,Netrakona,BRRI dhan96,6.2
ARD,Netrakona,BRRI dhan89,6.5
ARD,Netrakona,BRRI dhan96,6.3
ARD,Netrakona,BRRI hybrid dhan8,7.5
ARD,Netrakona,BRRI dhan92,6.8
ARD,Netrakona,BRRI dhan107,8.19
ARD,Netrakona,BRRI dhan102,8
ARD,Netrakona,BRRI hybrid dhan8,10
ARD,Netrakona,BRRI dhan102,8
ARD,Netrakona,BRRI dhan96,7
ARD,Netrakona,BRRI dhan104,7
ARD,Netrakona,BRRI dhan104,7
ARD,Netrakona,BRRI dhan92,8.4
ARD,Netrakona,BRRI dhan89,8
ARD,Netrakona,BRRI dhan89,8.1
ARD,Mymensingh,BRRI dhan102,6.2
ARD,Mymensingh,BRRI dhan92,7.77
ARD,Mymensingh,BRRI dhan89,7.57
ARD,Mymensingh,BRRI dhan96,6.17
ARD,Mymensingh,BRRI hybrid dhan8,7.57
ARD,Mymensingh,BRRI dhan104,6.07
ARD,Mymensingh,BRRI dhan89,6.37
ARD,Mymensingh,BRRI dhan96,7.22
ARD,Mymensingh,BRRI dhan107,9.06
ARD,Mymensingh,BRRI dhan104,6.47
ARD,Mymensingh,BRRI dhan107,5.77
ARD,Mymensingh,BRRI dhan105,5.77
ARD,Mymensingh,BRRI dhan108,5.98
ARD,Mymensingh,BRRI dhan92,8.46
ARD,Mymensingh,BRRI dhan96,5.95
ARD,Mymensingh,BRRI dhan107,7.14
ARD,Mymensingh,BRRI dhan105,7.04
ARD,Mymensingh,BRRI dhan96,6.12
ARD,Mymensingh,BRRI dhan107,7.32
ARD,Mymensingh,BRRI dhan102,7.08
ARD,Mymensingh,BRRI dhan102,7.18
ARD,Mymensingh,BRRI dhan104,6.32
ARD,Mymensingh,BRRI dhan104,6.32
ARD,Mymensingh,BRRI dhan104,6.32
ARD,Mymensingh,BRRI dhan104,6.07
ARD,Mymensingh,BRRI dhan89,6.37
ARD,Mymensingh,BRRI dhan96,7.22
ARD,Mymensingh,BRRI dhan107,9.06
ARD,Mymensingh,BRRI hybrid dhan8,7.9
ARD,Munshiganj,BRRI dhan108,7.6
ARD,Munshiganj,BRRI dhan102,7
ARD,Munshiganj,BRRI dhan102,7.1
ARD,Munshiganj,BRRI dhan96,6.6
ARD,Munshiganj,BRRI dhan96,6.4
ARD,Munshiganj,BRRI hybrid dhan8,8.2
ARD,Munshiganj,BRRI dhan102,7.4
ARD,Munshiganj,BRRI dhan102,6.6
ARD,Munshiganj,BRRI dhan108,7.6
