Data Source,DISTRICT,Variety,Yield
Cumilla RS,Cumilla,BRRI Hyrid dhan6,4.37
Cumilla RS,Cumilla,BRRI dhan103,6.52
Cumilla RS,Cumilla,BRRI dhan103,5.24
Cumilla RS,Cumilla,BRRI dhan103,5.45
Cumilla RS,Cumilla,BRRI dhan103,5.67
Cumilla RS,Cumilla,BRRI dhan103,6.25
Cumilla RS,Cumilla,BRRI dhan103,5.89
Cumilla RS,Cumilla,BRRI dhan103,5.89
Cumilla RS,Cumilla,BRRI dhan103,5.77
Cumilla RS,Cumilla,BRRI dhan103,6.35
Cumilla RS,Cumilla,BRRI dhan103,5.49
Cumilla RS,Cumilla,BRRI dhan103,5.99
Cumilla RS,Cumilla,BRRI dhan103,6.33
Cumilla RS,Cumilla,BRRI dhan103,6.21
Cumilla RS,Cumilla,BRRI dhan103,6.19
Cumilla RS,Cumilla,BRRI dhan103,5.82
Cumilla RS,Cumilla,BRRI dhan103,5.68
Cumilla RS,Cumilla,BRRI dhan103,5.81
Cumilla RS,Cumilla,BRRI dhan103,6.12
Cumilla RS,Cumilla,BRRI dhan103,6.25
Cumilla RS,Cumilla,BRRI dhan103,5.88
Cumilla RS,Cumilla,BRRI dhan103,5.65
Cumilla RS,Cumilla,BRRI dhan103,6.29
Cumilla RS,Cumilla,BRRI dhan103,5.67
Cumilla RS,Cumilla,BRRI dhan103,6.41
Cumilla RS,Cumilla,BRRI dhan103,6.32
Cumilla RS,Chandpur,BRRI dhan103,6.44
Cumilla RS,Chandpur,BRRI dhan103,5.95
Cumilla RS,Chandpur,BRRI dhan103,6.09
Cumilla RS,Chandpur,BRRI dhan103,6.12
Cumilla RS,Chandpur,BRRI dhan103,5.93
Cumilla RS,Chandpur,BRRI dhan103,5.49
Cumilla RS,Chandpur,BRRI dhan103,5.84
Cumilla RS,Chandpur,BRRI dhan103,6.22
Cumilla RS,Chandpur,BRRI dhan103,6.35
Cumilla RS,Chandpur,BRRI dhan103,6.04
Cumilla RS,Chandpur,BRRI dhan103,5.83
Cumilla RS,Chandpur,BRRI dhan103,5.61
Cumilla RS,Chandpur,BRRI dhan103,5.89
Cumilla RS,Chandpur,BRRI dhan103,6.19
Cumilla RS,Chandpur,BRRI dhan103,5.21
Cumilla RS,Chandpur,BRRI dhan103,5.89
Cumilla RS,Chandpur,BRRI dhan103,6.25
Cumilla RS,Chandpur,BRRI dhan103,6.18
Cumilla RS,Chandpur,BRRI dhan103,6.21
Cumilla RS,Chandpur,BRRI dhan103,5.12
Cumilla RS,Cumilla,BRRI dhan103,5.75
Cumilla RS,Cumilla,BRRI dhan103,5.21
Cumilla RS,Cumilla,BRRI dhan103,4.98
Cumilla RS,Cumilla,BRRI dhan103,4.86
Cumilla RS,Cumilla,BRRI dhan104,5.55
Rangpur RS,Rangpur,BRRI Hyrid dhan6,5.60
Rangpur RS,Rangpur,BRRI Hyrid dhan6,6.20
Rangpur RS,Rangpur,BRRI Hyrid dhan6,5.80
Rangpur RS,Rangpur,BRRI Hyrid dhan6,5.40
Rangpur RS,Rangpur,BRRI Hyrid dhan6,5.80
Rangpur RS,Rangpur,BRRI Hyrid dhan6,6.10
Rangpur RS,Rangpur,BRRI Hyrid dhan6,6.00
Rangpur RS,Rangpur,BRRI Hyrid dhan6,5.40
Rangpur RS,Lalmonirhat,BRRI Hyrid dhan6,5.00
Rangpur RS,Kurigram,BRRI Hyrid dhan6,5.60
Rangpur RS,Rangpur,BRRI Hyrid dhan4,5.40
Rangpur RS,Rangpur,BRRI Hyrid dhan4,5.80
Rangpur RS,Rangpur,BRRI Hyrid dhan4,5.60
Rangpur RS,Rangpur,BRRI Hyrid dhan4,5.40
Rangpur RS,Rangpur,BRRI Hyrid dhan4,5.50
Rangpur RS,Gaibandha,BRRI Hyrid dhan4,5.80
Rangpur RS,Rangpur,BRRI Hyrid dhan4,5.20
Rangpur RS,Nilphamari,BRRI Hyrid dhan4,5.90
Rangpur RS,Nilphamari,BRRI Hyrid dhan4,6.20
Rangpur RS,Gaibandha,BRRI Hyrid dhan4,6.00
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.70
Satkhira RS,Satkhira,BRRI Hyrid dhan6,6.20
Satkhira RS,Satkhira,BRRI Hyrid dhan6,6.10
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.30
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.80
Satkhira RS,Satkhira,BRRI Hyrid dhan6,6.10
Satkhira RS,Satkhira,BRRI Hyrid dhan6,6.00
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.50
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.00
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.60
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.40
Satkhira RS,Satkhira,BRRI Hyrid dhan7,5.20
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.60
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.40
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.50
Satkhira RS,Satkhira,BRRI Hyrid dhan6,5.80
Satkhira RS,Jashore,BRRI Hyrid dhan6,5.80
Satkhira RS,Jashore,BRRI Hyrid dhan6,6.10
Satkhira RS,Jashore,BRRI Hyrid dhan6,6.00
Satkhira RS,Satkhira,BRRI Hyrid dhan6,6.10
Kushtia RS,Meherpur,BRRI Hyrid dhan6,6.70
Kushtia RS,Magura,BRRI Hyrid dhan6,6.50
Kushtia RS,Magura,BRRI Hyrid dhan6,6.12
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.29
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.75
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.32
Kushtia RS,Magura,BRRI Hyrid dhan6,6.20
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.51
Kushtia RS,Jhenaidah,BRRI Hyrid dhan6,6.29
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.40
Kushtia RS,Kushtia,BRRI Hyrid dhan6,5.34
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.80
Kushtia RS,Kushtia,BRRI Hyrid dhan6,5.37
Kushtia RS,Kushtia,BRRI Hyrid dhan6,6.00
Kushtia RS,Kushtia,BRRI Hyrid dhan6,5.67
Barishal RS,Pirojpur,BRRI Hyrid dhan4,5.70
Barishal RS,Pirojpur,BRRI Hyrid dhan4,5.00
Barishal RS,Barguna,BRRI Hyrid dhan4,4.70
Barishal RS,Barguna,BRRI Hyrid dhan4,5.30
Barishal RS,Barguna,BRRI Hyrid dhan4,6.00
Barishal RS,Barguna,BRRI Hyrid dhan4,5.40
Barishal RS,Barguna,BRRI Hyrid dhan4,4.70
Barishal RS,Barguna,BRRI Hyrid dhan4,3.90
Barishal RS,Bhola,BRRI Hyrid dhan4,5.70
Barishal RS,Barishal,BRRI Hyrid dhan4,4.50
Barishal RS,Barishal,BRRI Hyrid dhan4,4.10
Barishal RS,Pirojpur,BRRI Hyrid dhan4,4.30
Barishal RS,Pirojpur,BRRI Hyrid dhan4,5.80
Barishal RS,Barguna,BRRI Hyrid dhan4,5.60
Barishal RS,Barguna,BRRI Hyrid dhan4,4.60
Barishal RS,Patuakhali,BRRI Hyrid dhan4,6.20
Barishal RS,Patuakhali,BRRI Hyrid dhan4,5.80
Barishal RS,Patuakhali,BRRI Hyrid dhan4,4.70
Barishal RS,Patuakhali,BRRI Hyrid dhan4,5.80
Barishal RS,Patuakhali,BRRI Hyrid dhan4,5.60
Sonagazi RS,Feni,BRRI dhan95,5.70
Sonagazi RS,Feni,BRRI dhan71,5.50
Sonagazi RS,Feni,BRRI dhan52,5.00
Sonagazi RS,Feni,BRRI dhan52,4.90
Sonagazi RS,Feni,BRRI dhan87,6.10
Sonagazi RS,Feni,BRRI dhan87,6.00
Sonagazi RS,Feni,BRRI dhan87,5.80
Sonagazi RS,Feni,BRRI dhan103,6.20
Sonagazi RS,Feni,BRRI dhan103,6.30
Sonagazi RS,Noakhali,BRRI dhan94,5.90
Sonagazi RS,Noakhali,BRRI dhan52,4.80
Sonagazi RS,Feni,BRRI dhan94,5.70
Sonagazi RS,Feni,BRRI dhan109,6.00
Sonagazi RS,Feni,BRRI dhan94,6.40
Sonagazi RS,Feni,BRRI dhan71,5.00
Sonagazi RS,Feni,BRRI dhan71,4.80
Sonagazi RS,Feni,BRRI dhan94,5.60
Sonagazi RS,Feni,BRRI dhan71,5.10
Sonagazi RS,Feni,BRRI dhan71,5.50
Sonagazi RS,Feni,BRRI dhan71,4.80
Sonagazi RS,Feni,BRRI dhan75,5.50
Sonagazi RS,Feni,BRRI dhan71,6.00
Sonagazi RS,Feni,BRRI dhan94,6.30
Sonagazi RS,Feni,BRRI dhan94,6.10
Sonagazi RS,Feni,BRRI dhan94,5.90
Sonagazi RS,Feni,BRRI dhan110,6.20
Sonagazi RS,Feni,BRRI dhan110,6.00
Sonagazi RS,Feni,BRRI dhan51,4.50
Sonagazi RS,Feni,BRRI dhan52,5.00
Sonagazi RS,Feni,BRRI dhan94,5.50
Sonagazi RS,Feni,BRRI dhan52,4.90
Sonagazi RS,Feni,BRRI dhan52,4.80
Sonagazi RS,Feni,BRRI dhan52,5.00
Sonagazi RS,Feni,BRRI dhan52,5.10
Sonagazi RS,Feni,BRRI dhan52,4.70
Sonagazi RS,Feni,BRRI dhan52,5.20
Sonagazi RS,Feni,BRRI dhan52,4.60
Sonagazi RS,Feni,BRRI dhan52,4.50
Sonagazi RS,Feni,BRRI dhan52,4.40
Sonagazi RS,Feni,BRRI dhan103,6.60
Sonagazi RS,Feni,BRRI dhan103,6.80
Sonagazi RS,Feni,BRRI dhan78,4.50
Sonagazi RS,Feni,BRRI dhan103,6.50
Sonagazi RS,Feni,BRRI dhan103,6.00
Sonagazi RS,Feni,BRRI dhan103,6.80
Sonagazi RS,Feni,BRRI dhan109,5.50
Sonagazi RS,Feni,BRRI dhan71,5.30
Sonagazi RS,Feni,BRRI dhan51,4.50
Sonagazi RS,Feni,BRRI dhan51,4.70
Sonagazi RS,Feni,BRRI dhan51,4.90
Sonagazi RS,Feni,BRRI Hyrid dhan6,6.00
Sonagazi RS,Noakhali,BRRI Hyrid dhan6,6.50
Sonagazi RS,Feni,BRRI Hyrid dhan6,5.80
Sonagazi RS,Feni,BRRI Hyrid dhan6,6.10
Sonagazi RS,Feni,BRRI Hyrid dhan6,5.90
